Time (CET/CEST);NO2-NO1;NO2_hydro_river;NO2_hydro_storage;NO1_actual_load
18.09.2022 19:00 - 18.09.2022 20:00;-425;205;1100;2914
18.09.2022 20:00 - 18.09.2022 21:00;-504;203;1054;2999
18.09.2022 21:00 - 18.09.2022 22:00;-372;190;733;2921
18.09.2022 22:00 - 18.09.2022 23:00;-540;187;534;2833
18.09.2022 23:00 - 19.09.2022 00:00;-788;185;437;2690
19.09.2022 00:00 - 19.09.2022 01:00;-519;182;396;2541
19.09.2022 01:00 - 19.09.2022 02:00;-614;188;332;2445
19.09.2022 02:00 - 19.09.2022 03:00;-692;190;317;2392
19.09.2022 03:00 - 19.09.2022 04:00;-658;184;316;2373
19.09.2022 04:00 - 19.09.2022 05:00;-691;185;343;2388
19.09.2022 05:00 - 19.09.2022 06:00;-460;184;639;2487
19.09.2022 06:00 - 19.09.2022 07:00;-57;183;1625;2823
19.09.2022 07:00 - 19.09.2022 08:00;94;192;2326;3239
19.09.2022 08:00 - 19.09.2022 09:00;251;230;2354;3344
19.09.2022 09:00 - 19.09.2022 10:00;589;232;2164;3300
19.09.2022 10:00 - 19.09.2022 11:00;779;220;1938;3282
19.09.2022 11:00 - 19.09.2022 12:00;821;220;1763;3230
19.09.2022 12:00 - 19.09.2022 13:00;936;218;1644;3172
19.09.2022 13:00 - 19.09.2022 14:00;724;215;1452;3147
19.09.2022 14:00 - 19.09.2022 15:00;623;218;1379;3119
19.09.2022 15:00 - 19.09.2022 16:00;361;221;1022;3137
19.09.2022 16:00 - 19.09.2022 17:00;336;217;1144;3163
19.09.2022 17:00 - 19.09.2022 18:00;373;216;1853;3097
19.09.2022 18:00 - 19.09.2022 19:00;289;217;2662;3070
19.09.2022 19:00 - 19.09.2022 20:00;-139;250;2974;3077
19.09.2022 20:00 - 19.09.2022 21:00;-174;245;2860;3114
19.09.2022 21:00 - 19.09.2022 22:00;-34;236;2683;3028
19.09.2022 22:00 - 19.09.2022 23:00;130;214;2650;2901
19.09.2022 23:00 - 20.09.2022 00:00;41;215;1977;2700
20.09.2022 00:00 - 20.09.2022 01:00;-30;214;980;2534
20.09.2022 01:00 - 20.09.2022 02:00;-79;211;1107;2460
20.09.2022 02:00 - 20.09.2022 03:00;63;208;1281;2416
20.09.2022 03:00 - 20.09.2022 04:00;-293;206;825;2405
20.09.2022 04:00 - 20.09.2022 05:00;-238;206;804;2437
20.09.2022 05:00 - 20.09.2022 06:00;-33;198;1430;2543
20.09.2022 06:00 - 20.09.2022 07:00;329;198;2698;2920
20.09.2022 07:00 - 20.09.2022 08:00;229;220;3201;3338
20.09.2022 08:00 - 20.09.2022 09:00;-57;222;3063;3456
20.09.2022 09:00 - 20.09.2022 10:00;-24;227;2808;3409
20.09.2022 10:00 - 20.09.2022 11:00;320;218;2405;3302
20.09.2022 11:00 - 20.09.2022 12:00;508;226;2170;3214
20.09.2022 12:00 - 20.09.2022 13:00;266;219;1826;3189
20.09.2022 13:00 - 20.09.2022 14:00;448;215;1966;3117
20.09.2022 14:00 - 20.09.2022 15:00;658;208;2137;3084
20.09.2022 15:00 - 20.09.2022 16:00;597;206;2429;3067
20.09.2022 16:00 - 20.09.2022 17:00;499;205;2721;3092
20.09.2022 17:00 - 20.09.2022 18:00;57;227;3178;3086
20.09.2022 18:00 - 20.09.2022 19:00;-429;227;3804;3089
20.09.2022 19:00 - 20.09.2022 20:00;-561;231;4579;3209
20.09.2022 20:00 - 20.09.2022 21:00;-603;233;4503;3280
20.09.2022 21:00 - 20.09.2022 22:00;-109;236;3742;3173
20.09.2022 22:00 - 20.09.2022 23:00;274;232;3246;3036
20.09.2022 23:00 - 21.09.2022 00:00;424;218;2591;2854
21.09.2022 00:00 - 21.09.2022 01:00;394;217;1232;2676
21.09.2022 01:00 - 21.09.2022 02:00;160;210;1021;2604
21.09.2022 02:00 - 21.09.2022 03:00;55;202;1016;2567
21.09.2022 03:00 - 21.09.2022 04:00;-159;198;1026;2548
21.09.2022 04:00 - 21.09.2022 05:00;88;197;1317;2562
21.09.2022 05:00 - 21.09.2022 06:00;324;201;1642;2702
21.09.2022 06:00 - 21.09.2022 07:00;507;198;3200;3120
21.09.2022 07:00 - 21.09.2022 08:00;582;223;4171;3535
21.09.2022 08:00 - 21.09.2022 09:00;837;226;4167;3620
21.09.2022 09:00 - 21.09.2022 10:00;778;229;3265;3524
21.09.2022 10:00 - 21.09.2022 11:00;579;217;2106;3375
21.09.2022 11:00 - 21.09.2022 12:00;858;226;1820;3284
21.09.2022 12:00 - 21.09.2022 13:00;883;217;1691;3228
21.09.2022 13:00 - 21.09.2022 14:00;894;208;1679;3233
21.09.2022 14:00 - 21.09.2022 15:00;620;208;1722;3189
21.09.2022 15:00 - 21.09.2022 16:00;475;196;1799;3170
21.09.2022 16:00 - 21.09.2022 17:00;380;195;2099;3182
21.09.2022 17:00 - 21.09.2022 18:00;166;213;2651;3139
21.09.2022 18:00 - 21.09.2022 19:00;335;216;3600;3091
21.09.2022 19:00 - 21.09.2022 20:00;448;227;4435;3156
21.09.2022 20:00 - 21.09.2022 21:00;275;222;3931;3243
21.09.2022 21:00 - 21.09.2022 22:00;262;225;3085;3142
21.09.2022 22:00 - 21.09.2022 23:00;89;207;2303;2995
21.09.2022 23:00 - 22.09.2022 00:00;210;206;1767;2839
22.09.2022 00:00 - 22.09.2022 01:00;-233;208;1105;2688
22.09.2022 01:00 - 22.09.2022 02:00;-181;202;974;2583
22.09.2022 02:00 - 22.09.2022 03:00;-243;201;959;2548
22.09.2022 03:00 - 22.09.2022 04:00;-187;200;955;2531
22.09.2022 04:00 - 22.09.2022 05:00;-208;199;958;2520
22.09.2022 05:00 - 22.09.2022 06:00;-275;194;1341;2610
22.09.2022 06:00 - 22.09.2022 07:00;-388;198;2554;2993
22.09.2022 07:00 - 22.09.2022 08:00;193;217;3530;3359
22.09.2022 08:00 - 22.09.2022 09:00;650;218;3444;3470
22.09.2022 09:00 - 22.09.2022 10:00;486;213;2225;3422
22.09.2022 10:00 - 22.09.2022 11:00;737;220;1483;3448
22.09.2022 11:00 - 22.09.2022 12:00;968;232;1193;3423
22.09.2022 12:00 - 22.09.2022 13:00;1176;230;1156;3388
22.09.2022 13:00 - 22.09.2022 14:00;1035;236;1150;3351
22.09.2022 14:00 - 22.09.2022 15:00;611;233;1219;3361
22.09.2022 15:00 - 22.09.2022 16:00;234;228;1272;3403
22.09.2022 16:00 - 22.09.2022 17:00;-137;226;1468;3361
22.09.2022 17:00 - 22.09.2022 18:00;-139;245;2274;3316
22.09.2022 18:00 - 22.09.2022 19:00;-379;254;2704;3327
22.09.2022 19:00 - 22.09.2022 20:00;-434;264;2762;3322
22.09.2022 20:00 - 22.09.2022 21:00;-679;270;2499;3273
22.09.2022 21:00 - 22.09.2022 22:00;-579;270;2215;3164
22.09.2022 22:00 - 22.09.2022 23:00;-619;258;2040;2986
22.09.2022 23:00 - 23.09.2022 00:00;-791;264;1524;2775
23.09.2022 00:00 - 23.09.2022 01:00;-501;267;1169;2585
23.09.2022 01:00 - 23.09.2022 02:00;-414;273;1016;2477
23.09.2022 02:00 - 23.09.2022 03:00;-398;281;998;2412
23.09.2022 03:00 - 23.09.2022 04:00;-298;283;971;2397
23.09.2022 04:00 - 23.09.2022 05:00;-304;298;987;2378
23.09.2022 05:00 - 23.09.2022 06:00;-732;312;1412;2481
23.09.2022 06:00 - 23.09.2022 07:00;-771;313;2075;2787
23.09.2022 07:00 - 23.09.2022 08:00;-495;332;2659;3218
23.09.2022 08:00 - 23.09.2022 09:00;-301;345;2920;3291
23.09.2022 09:00 - 23.09.2022 10:00;-377;358;2456;3298
23.09.2022 10:00 - 23.09.2022 11:00;-226;363;2123;3180
23.09.2022 11:00 - 23.09.2022 12:00;74;371;1817;3216
23.09.2022 12:00 - 23.09.2022 13:00;225;373;1705;3336
23.09.2022 13:00 - 23.09.2022 14:00;224;373;1559;3333
23.09.2022 14:00 - 23.09.2022 15:00;80;367;1487;3277
23.09.2022 15:00 - 23.09.2022 16:00;-32;353;1661;3264
23.09.2022 16:00 - 23.09.2022 17:00;-298;343;1998;3258
23.09.2022 17:00 - 23.09.2022 18:00;-59;350;2303;3242
23.09.2022 18:00 - 23.09.2022 19:00;-461;352;2547;3177
23.09.2022 19:00 - 23.09.2022 20:00;-841;363;2993;3141
23.09.2022 20:00 - 23.09.2022 21:00;-1333;355;2790;3060
23.09.2022 21:00 - 23.09.2022 22:00;-1125;330;2611;2924
23.09.2022 22:00 - 23.09.2022 23:00;-1220;321;2377;2766
23.09.2022 23:00 - 24.09.2022 00:00;-866;308;1967;2640
24.09.2022 00:00 - 24.09.2022 01:00;-750;313;1951;2501
24.09.2022 01:00 - 24.09.2022 02:00;-468;313;1520;2381
24.09.2022 02:00 - 24.09.2022 03:00;-175;315;1120;2336
24.09.2022 03:00 - 24.09.2022 04:00;-222;303;1064;2280
24.09.2022 04:00 - 24.09.2022 05:00;-150;301;1021;2291
24.09.2022 05:00 - 24.09.2022 06:00;-162;299;1085;2314
24.09.2022 06:00 - 24.09.2022 07:00;-339;300;1487;2405
24.09.2022 07:00 - 24.09.2022 08:00;-464;291;2357;2452
24.09.2022 08:00 - 24.09.2022 09:00;-440;291;2640;2618
24.09.2022 09:00 - 24.09.2022 10:00;-351;292;2748;2798
24.09.2022 10:00 - 24.09.2022 11:00;-162;297;2631;2893
24.09.2022 11:00 - 24.09.2022 12:00;47;300;2300;2892
24.09.2022 12:00 - 24.09.2022 13:00;321;299;1238;2846
24.09.2022 13:00 - 24.09.2022 14:00;522;303;1020;2858
24.09.2022 14:00 - 24.09.2022 15:00;495;304;1036;2863
24.09.2022 15:00 - 24.09.2022 16:00;352;294;1272;2837
24.09.2022 16:00 - 24.09.2022 17:00;-94;284;2118;2836
24.09.2022 17:00 - 24.09.2022 18:00;-232;289;2946;2886
24.09.2022 18:00 - 24.09.2022 19:00;-915;290;2957;2937
24.09.2022 19:00 - 24.09.2022 20:00;-1251;291;2894;2975
24.09.2022 20:00 - 24.09.2022 21:00;-1435;289;2936;2933
24.09.2022 21:00 - 24.09.2022 22:00;-572;289;2894;2807
24.09.2022 22:00 - 24.09.2022 23:00;-105;285;2262;2706
24.09.2022 23:00 - 25.09.2022 00:00;-51;283;1304;2617
25.09.2022 00:00 - 25.09.2022 01:00;-40;270;934;2551
25.09.2022 01:00 - 25.09.2022 02:00;72;266;652;2456
25.09.2022 02:00 - 25.09.2022 03:00;124;270;558;2399
25.09.2022 03:00 - 25.09.2022 04:00;35;267;569;2393
25.09.2022 04:00 - 25.09.2022 05:00;194;264;652;2412
25.09.2022 05:00 - 25.09.2022 06:00;333;259;682;2414
25.09.2022 06:00 - 25.09.2022 07:00;342;253;703;2462
25.09.2022 07:00 - 25.09.2022 08:00;386;268;594;2499
25.09.2022 08:00 - 25.09.2022 09:00;789;272;799;2608
25.09.2022 09:00 - 25.09.2022 10:00;613;275;895;2744
25.09.2022 10:00 - 25.09.2022 11:00;622;282;856;2789
25.09.2022 11:00 - 25.09.2022 12:00;544;293;863;2757
25.09.2022 12:00 - 25.09.2022 13:00;460;293;678;2714
25.09.2022 13:00 - 25.09.2022 14:00;569;296;445;2690
25.09.2022 14:00 - 25.09.2022 15:00;537;296;407;2668
25.09.2022 15:00 - 25.09.2022 16:00;587;296;570;2737
25.09.2022 16:00 - 25.09.2022 17:00;150;282;899;2803
25.09.2022 17:00 - 25.09.2022 18:00;-489;287;1296;2920
25.09.2022 18:00 - 25.09.2022 19:00;-917;302;1595;2924
25.09.2022 19:00 - 25.09.2022 20:00;-1196;309;2297;2964
25.09.2022 20:00 - 25.09.2022 21:00;-1297;327;2597;2960
25.09.2022 21:00 - 25.09.2022 22:00;-953;347;2265;2899
25.09.2022 22:00 - 25.09.2022 23:00;-633;354;1166;2764
25.09.2022 23:00 - 26.09.2022 00:00;-330;367;745;2587
26.09.2022 00:00 - 26.09.2022 01:00;-568;361;465;2570
26.09.2022 01:00 - 26.09.2022 02:00;-568;370;363;2550
26.09.2022 02:00 - 26.09.2022 03:00;-365;379;355;2503
26.09.2022 03:00 - 26.09.2022 04:00;-222;383;359;2412
26.09.2022 04:00 - 26.09.2022 05:00;-178;382;370;2519
26.09.2022 05:00 - 26.09.2022 06:00;-149;382;660;2611
26.09.2022 06:00 - 26.09.2022 07:00;-318;397;1186;2974
26.09.2022 07:00 - 26.09.2022 08:00;108;413;1947;3332
26.09.2022 08:00 - 26.09.2022 09:00;185;423;2056;3474
26.09.2022 09:00 - 26.09.2022 10:00;165;426;1657;3486
26.09.2022 10:00 - 26.09.2022 11:00;-75;430;1616;3486
26.09.2022 11:00 - 26.09.2022 12:00;-61;440;1193;3502
26.09.2022 12:00 - 26.09.2022 13:00;86;442;1189;3533
26.09.2022 13:00 - 26.09.2022 14:00;43;437;1092;3533
26.09.2022 14:00 - 26.09.2022 15:00;-113;470;868;3531
26.09.2022 15:00 - 26.09.2022 16:00;-91;486;952;3527
26.09.2022 16:00 - 26.09.2022 17:00;-50;500;1111;3512
26.09.2022 17:00 - 26.09.2022 18:00;-83;517;1337;3486
26.09.2022 18:00 - 26.09.2022 19:00;-250;538;1472;3473
26.09.2022 19:00 - 26.09.2022 20:00;-556;532;1954;3485
26.09.2022 20:00 - 26.09.2022 21:00;-722;520;1610;3398
26.09.2022 21:00 - 26.09.2022 22:00;-743;509;1336;3234
26.09.2022 22:00 - 26.09.2022 23:00;-1298;508;1197;3072
26.09.2022 23:00 - 27.09.2022 00:00;-914;506;1087;2844
27.09.2022 00:00 - 27.09.2022 01:00;-1298;512;581;2650
27.09.2022 01:00 - 27.09.2022 02:00;-1404;515;507;2606
27.09.2022 02:00 - 27.09.2022 03:00;-1431;514;482;2561
27.09.2022 03:00 - 27.09.2022 04:00;-1620;511;488;2523
27.09.2022 04:00 - 27.09.2022 05:00;-1515;507;500;2470
27.09.2022 05:00 - 27.09.2022 06:00;-1240;500;700;2592
27.09.2022 06:00 - 27.09.2022 07:00;-898;501;1246;2944
27.09.2022 07:00 - 27.09.2022 08:00;-446;528;1832;3322
27.09.2022 08:00 - 27.09.2022 09:00;-506;541;1840;3405
27.09.2022 09:00 - 27.09.2022 10:00;-587;546;1816;3435
27.09.2022 10:00 - 27.09.2022 11:00;-547;549;1816;3426
27.09.2022 11:00 - 27.09.2022 12:00;-456;533;1801;3430
27.09.2022 12:00 - 27.09.2022 13:00;-544;517;1725;3444
27.09.2022 13:00 - 27.09.2022 14:00;-822;516;1424;3466
27.09.2022 14:00 - 27.09.2022 15:00;-922;540;1385;3477
27.09.2022 15:00 - 27.09.2022 16:00;-917;526;1538;3449
27.09.2022 16:00 - 27.09.2022 17:00;-792;540;1749;3507
27.09.2022 17:00 - 27.09.2022 18:00;-419;550;1986;3415
27.09.2022 18:00 - 27.09.2022 19:00;-494;548;2024;3424
27.09.2022 19:00 - 27.09.2022 20:00;-493;562;2433;3461
27.09.2022 20:00 - 27.09.2022 21:00;-785;567;2442;3439
27.09.2022 21:00 - 27.09.2022 22:00;-925;572;2278;3342
27.09.2022 22:00 - 27.09.2022 23:00;-1047;563;1660;3187
27.09.2022 23:00 - 28.09.2022 00:00;-1266;555;1223;2925
28.09.2022 00:00 - 28.09.2022 01:00;-1348;564;857;2757
28.09.2022 01:00 - 28.09.2022 02:00;-1311;560;756;2627
28.09.2022 02:00 - 28.09.2022 03:00;-1214;556;682;2553
28.09.2022 03:00 - 28.09.2022 04:00;-1157;579;695;2532
28.09.2022 04:00 - 28.09.2022 05:00;-1337;583;696;2525
28.09.2022 05:00 - 28.09.2022 06:00;-1342;577;883;2648
28.09.2022 06:00 - 28.09.2022 07:00;-913;581;1295;3024
28.09.2022 07:00 - 28.09.2022 08:00;-643;588;1606;3386
28.09.2022 08:00 - 28.09.2022 09:00;-754;614;1689;3496
28.09.2022 09:00 - 28.09.2022 10:00;-932;618;1675;3506
28.09.2022 10:00 - 28.09.2022 11:00;-794;635;1672;3468
28.09.2022 11:00 - 28.09.2022 12:00;-714;638;1447;3472
28.09.2022 12:00 - 28.09.2022 13:00;-849;644;1480;3455
28.09.2022 13:00 - 28.09.2022 14:00;-833;642;1580;3425
28.09.2022 14:00 - 28.09.2022 15:00;-919;647;1541;3431
28.09.2022 15:00 - 28.09.2022 16:00;-979;647;1496;3415
28.09.2022 16:00 - 28.09.2022 17:00;-834;655;1378;3450
28.09.2022 17:00 - 28.09.2022 18:00;-622;660;1545;3421
28.09.2022 18:00 - 28.09.2022 19:00;-842;675;1581;3367
28.09.2022 19:00 - 28.09.2022 20:00;-1050;670;1766;3444
28.09.2022 20:00 - 28.09.2022 21:00;-1074;670;1673;3410
28.09.2022 21:00 - 28.09.2022 22:00;-896;669;1555;3356
28.09.2022 22:00 - 28.09.2022 23:00;-1064;661;1308;3204
28.09.2022 23:00 - 29.09.2022 00:00;-1242;655;1052;2989
29.09.2022 00:00 - 29.09.2022 01:00;-1457;633;740;2793
29.09.2022 01:00 - 29.09.2022 02:00;-1582;620;687;2671
29.09.2022 02:00 - 29.09.2022 03:00;-1434;611;727;2558
29.09.2022 03:00 - 29.09.2022 04:00;-1378;611;745;2531
29.09.2022 04:00 - 29.09.2022 05:00;-1520;605;673;2566
29.09.2022 05:00 - 29.09.2022 06:00;-1343;604;932;2714
29.09.2022 06:00 - 29.09.2022 07:00;-1147;599;1265;3120
29.09.2022 07:00 - 29.09.2022 08:00;-1088;593;1762;3558
29.09.2022 08:00 - 29.09.2022 09:00;-975;581;2585;3660
29.09.2022 09:00 - 29.09.2022 10:00;-1159;583;2805;3672
29.09.2022 10:00 - 29.09.2022 11:00;-1483;582;2746;3668
29.09.2022 11:00 - 29.09.2022 12:00;-1382;580;2583;3544
29.09.2022 12:00 - 29.09.2022 13:00;-1293;573;2553;3524
29.09.2022 13:00 - 29.09.2022 14:00;-1277;575;2598;3462
29.09.2022 14:00 - 29.09.2022 15:00;-1281;573;2614;3429
29.09.2022 15:00 - 29.09.2022 16:00;-1312;568;2578;3438
29.09.2022 16:00 - 29.09.2022 17:00;-1241;576;2717;3470
29.09.2022 17:00 - 29.09.2022 18:00;-1229;601;3045;3442
29.09.2022 18:00 - 29.09.2022 19:00;-1369;600;3224;3448
29.09.2022 19:00 - 29.09.2022 20:00;-1041;608;3664;3519
29.09.2022 20:00 - 29.09.2022 21:00;-1286;613;3415;3502
29.09.2022 21:00 - 29.09.2022 22:00;-1061;607;3243;3416
29.09.2022 22:00 - 29.09.2022 23:00;-936;582;2949;3253
29.09.2022 23:00 - 30.09.2022 00:00;-972;588;2221;3057
30.09.2022 00:00 - 30.09.2022 01:00;-1254;583;1855;2907
30.09.2022 01:00 - 30.09.2022 02:00;-1165;584;1457;2797
30.09.2022 02:00 - 30.09.2022 03:00;-1295;576;1445;2752
30.09.2022 03:00 - 30.09.2022 04:00;-1328;571;1425;2741
30.09.2022 04:00 - 30.09.2022 05:00;-1371;569;1435;2765
30.09.2022 05:00 - 30.09.2022 06:00;-1240;570;1571;2901
30.09.2022 06:00 - 30.09.2022 07:00;-790;564;2253;3269
30.09.2022 07:00 - 30.09.2022 08:00;-324;562;2924;3679
30.09.2022 08:00 - 30.09.2022 09:00;-47;564;3191;3791
30.09.2022 09:00 - 30.09.2022 10:00;-70;557;3010;3782
30.09.2022 10:00 - 30.09.2022 11:00;-153;547;2822;3618
30.09.2022 11:00 - 30.09.2022 12:00;-316;545;2272;3511
30.09.2022 12:00 - 30.09.2022 13:00;-354;549;1388;3478
30.09.2022 13:00 - 30.09.2022 14:00;-136;544;963;3406
30.09.2022 14:00 - 30.09.2022 15:00;-97;536;941;3343
30.09.2022 15:00 - 30.09.2022 16:00;-214;525;954;3332
30.09.2022 16:00 - 30.09.2022 17:00;-419;529;954;3342
30.09.2022 17:00 - 30.09.2022 18:00;-707;527;1334;3308
30.09.2022 18:00 - 30.09.2022 19:00;-637;515;1353;3341
30.09.2022 19:00 - 30.09.2022 20:00;-1257;504;1535;3388
30.09.2022 20:00 - 30.09.2022 21:00;-1341;500;1139;3250
30.09.2022 21:00 - 30.09.2022 22:00;-1204;506;819;3140
30.09.2022 22:00 - 30.09.2022 23:00;-1161;492;659;3015
30.09.2022 23:00 - 01.10.2022 00:00;-869;497;612;2910
01.10.2022 00:00 - 01.10.2022 01:00;-584;481;392;2833
01.10.2022 01:00 - 01.10.2022 02:00;-664;483;364;2737
01.10.2022 02:00 - 01.10.2022 03:00;-435;485;342;2662
01.10.2022 03:00 - 01.10.2022 04:00;52;489;344;2621
01.10.2022 04:00 - 01.10.2022 05:00;314;490;345;2610
01.10.2022 05:00 - 01.10.2022 06:00;211;495;354;2620
01.10.2022 06:00 - 01.10.2022 07:00;-259;503;343;2667
01.10.2022 07:00 - 01.10.2022 08:00;-862;517;344;2790
01.10.2022 08:00 - 01.10.2022 09:00;-765;529;350;2937
01.10.2022 09:00 - 01.10.2022 10:00;-337;570;475;3110
01.10.2022 10:00 - 01.10.2022 11:00;-455;594;688;3260
01.10.2022 11:00 - 01.10.2022 12:00;-450;611;684;3284
01.10.2022 12:00 - 01.10.2022 13:00;-510;631;591;3323
01.10.2022 13:00 - 01.10.2022 14:00;-120;642;576;3290
01.10.2022 14:00 - 01.10.2022 15:00;164;653;516;3264
01.10.2022 15:00 - 01.10.2022 16:00;254;655;559;3272
01.10.2022 16:00 - 01.10.2022 17:00;236;659;544;3292
01.10.2022 17:00 - 01.10.2022 18:00;-478;655;596;3272
01.10.2022 18:00 - 01.10.2022 19:00;-830;657;686;3269
01.10.2022 19:00 - 01.10.2022 20:00;-1008;665;700;3244
01.10.2022 20:00 - 01.10.2022 21:00;-979;666;710;3045
01.10.2022 21:00 - 01.10.2022 22:00;-754;667;636;2963
01.10.2022 22:00 - 01.10.2022 23:00;-759;668;476;2867
01.10.2022 23:00 - 02.10.2022 00:00;-214;668;513;2771
02.10.2022 00:00 - 02.10.2022 01:00;-342;675;467;2674
02.10.2022 01:00 - 02.10.2022 02:00;-298;686;399;2592
02.10.2022 02:00 - 02.10.2022 03:00;-350;674;416;2554
02.10.2022 03:00 - 02.10.2022 04:00;-252;674;416;2501
02.10.2022 04:00 - 02.10.2022 05:00;-139;671;401;2477
02.10.2022 05:00 - 02.10.2022 06:00;-189;665;474;2464
02.10.2022 06:00 - 02.10.2022 07:00;-128;669;469;2512
02.10.2022 07:00 - 02.10.2022 08:00;-400;677;471;2551
02.10.2022 08:00 - 02.10.2022 09:00;-300;685;499;2658
02.10.2022 09:00 - 02.10.2022 10:00;-744;679;541;2801
02.10.2022 10:00 - 02.10.2022 11:00;-745;682;725;2898
02.10.2022 11:00 - 02.10.2022 12:00;-582;691;714;2929
02.10.2022 12:00 - 02.10.2022 13:00;-798;691;748;2955
02.10.2022 13:00 - 02.10.2022 14:00;-633;688;722;2922
02.10.2022 14:00 - 02.10.2022 15:00;-406;688;728;2902
02.10.2022 15:00 - 02.10.2022 16:00;-206;695;569;2905
02.10.2022 16:00 - 02.10.2022 17:00;-210;697;675;2959
02.10.2022 17:00 - 02.10.2022 18:00;-437;699;780;2975
02.10.2022 18:00 - 02.10.2022 19:00;-720;696;1201;3026
02.10.2022 19:00 - 02.10.2022 20:00;-1101;692;1366;3129
02.10.2022 20:00 - 02.10.2022 21:00;-1073;696;1211;3111
02.10.2022 21:00 - 02.10.2022 22:00;-351;697;856;3034
02.10.2022 22:00 - 02.10.2022 23:00;-390;693;719;2987
02.10.2022 23:00 - 03.10.2022 00:00;-606;690;739;2887
03.10.2022 00:00 - 03.10.2022 01:00;-391;683;655;2740
03.10.2022 01:00 - 03.10.2022 02:00;-333;678;430;2652
03.10.2022 02:00 - 03.10.2022 03:00;-367;683;423;2642
03.10.2022 03:00 - 03.10.2022 04:00;-306;679;402;2643
03.10.2022 04:00 - 03.10.2022 05:00;-394;677;400;2645
03.10.2022 05:00 - 03.10.2022 06:00;-320;670;631;2784
03.10.2022 06:00 - 03.10.2022 07:00;-168;673;1355;3202
03.10.2022 07:00 - 03.10.2022 08:00;-505;681;1776;3445
03.10.2022 08:00 - 03.10.2022 09:00;-626;672;2167;3540
03.10.2022 09:00 - 03.10.2022 10:00;-451;682;1598;3532
03.10.2022 10:00 - 03.10.2022 11:00;-303;654;1296;3550
03.10.2022 11:00 - 03.10.2022 12:00;145;662;955;3452
03.10.2022 12:00 - 03.10.2022 13:00;413;651;926;3386
03.10.2022 13:00 - 03.10.2022 14:00;468;651;927;3282
03.10.2022 14:00 - 03.10.2022 15:00;263;641;957;3206
03.10.2022 15:00 - 03.10.2022 16:00;-392;648;1076;3186
03.10.2022 16:00 - 03.10.2022 17:00;-1148;659;1311;3231
03.10.2022 17:00 - 03.10.2022 18:00;-1011;654;2097;3223
03.10.2022 18:00 - 03.10.2022 19:00;-1226;672;2540;3316
03.10.2022 19:00 - 03.10.2022 20:00;-1362;655;2949;3418
03.10.2022 20:00 - 03.10.2022 21:00;-1647;653;2722;3378
03.10.2022 21:00 - 03.10.2022 22:00;-1578;647;2445;3291
03.10.2022 22:00 - 03.10.2022 23:00;-1730;649;1932;3150
03.10.2022 23:00 - 04.10.2022 00:00;-1752;640;1410;2973
04.10.2022 00:00 - 04.10.2022 01:00;-1472;608;1348;2829
04.10.2022 01:00 - 04.10.2022 02:00;-1437;608;1360;2766
04.10.2022 02:00 - 04.10.2022 03:00;-1544;613;1320;2710
04.10.2022 03:00 - 04.10.2022 04:00;-1506;618;1211;2699
04.10.2022 04:00 - 04.10.2022 05:00;-1514;620;1608;2729
04.10.2022 05:00 - 04.10.2022 06:00;-1370;616;2185;2862
04.10.2022 06:00 - 04.10.2022 07:00;-811;625;2797;3297
04.10.2022 07:00 - 04.10.2022 08:00;-690;604;2986;3668
04.10.2022 08:00 - 04.10.2022 09:00;-554;573;3053;3767
04.10.2022 09:00 - 04.10.2022 10:00;-610;578;2834;3769
04.10.2022 10:00 - 04.10.2022 11:00;-730;601;2488;3789
04.10.2022 11:00 - 04.10.2022 12:00;-456;576;2074;3741
04.10.2022 12:00 - 04.10.2022 13:00;-138;554;1373;3659
04.10.2022 13:00 - 04.10.2022 14:00;-264;535;1239;3649
04.10.2022 14:00 - 04.10.2022 15:00;-659;529;1211;3598
04.10.2022 15:00 - 04.10.2022 16:00;-1129;545;1387;3609
04.10.2022 16:00 - 04.10.2022 17:00;-1025;543;1651;3660
04.10.2022 17:00 - 04.10.2022 18:00;-982;589;1464;3585
04.10.2022 18:00 - 04.10.2022 19:00;-1143;619;1589;3558
04.10.2022 19:00 - 04.10.2022 20:00;-1068;640;1870;3506
04.10.2022 20:00 - 04.10.2022 21:00;-1426;649;1402;3377
04.10.2022 21:00 - 04.10.2022 22:00;-1355;662;1088;3258
04.10.2022 22:00 - 04.10.2022 23:00;-1203;661;1079;3097
04.10.2022 23:00 - 05.10.2022 00:00;-1539;660;1144;2899
05.10.2022 00:00 - 05.10.2022 01:00;-1699;646;1058;2702
05.10.2022 01:00 - 05.10.2022 02:00;-1975;662;949;2587
05.10.2022 02:00 - 05.10.2022 03:00;-1925;671;979;2532
05.10.2022 03:00 - 05.10.2022 04:00;-1859;665;967;2493
05.10.2022 04:00 - 05.10.2022 05:00;-1848;661;987;2503
05.10.2022 05:00 - 05.10.2022 06:00;-1799;661;1265;2621
05.10.2022 06:00 - 05.10.2022 07:00;-1558;681;1922;2910
05.10.2022 07:00 - 05.10.2022 08:00;-1656;684;2162;3246
05.10.2022 08:00 - 05.10.2022 09:00;-1747;667;2183;3385
05.10.2022 09:00 - 05.10.2022 10:00;-1335;656;1899;3440
05.10.2022 10:00 - 05.10.2022 11:00;-1016;648;1795;3474
05.10.2022 11:00 - 05.10.2022 12:00;-316;661;1816;3503
05.10.2022 12:00 - 05.10.2022 13:00;-239;662;1612;3537
