Time (CET/CEST);NO2-NO1;NO2_hydro_river;NO2_hydro_storage;NO1_actual_load
10.01.2022 05:00 - 10.01.2022 06:00;405;632;6959;4790
10.01.2022 06:00 - 10.01.2022 07:00;957;664;7347;5267
10.01.2022 07:00 - 10.01.2022 08:00;978;673;7605;5710
10.01.2022 08:00 - 10.01.2022 09:00;1175;673;7843;5918
10.01.2022 09:00 - 10.01.2022 10:00;809;682;7701;5893
10.01.2022 10:00 - 10.01.2022 11:00;803;691;7642;5870
10.01.2022 11:00 - 10.01.2022 12:00;823;689;7650;5846
10.01.2022 12:00 - 10.01.2022 13:00;909;693;7745;5850
10.01.2022 13:00 - 10.01.2022 14:00;929;701;7646;5827
10.01.2022 14:00 - 10.01.2022 15:00;984;694;7466;5833
10.01.2022 15:00 - 10.01.2022 16:00;1134;707;7595;5961
10.01.2022 16:00 - 10.01.2022 17:00;1485;707;8037;6192
10.01.2022 17:00 - 10.01.2022 18:00;1358;707;7935;6150
10.01.2022 18:00 - 10.01.2022 19:00;1173;713;7961;5980
10.01.2022 19:00 - 10.01.2022 20:00;1256;713;7814;5812
10.01.2022 20:00 - 10.01.2022 21:00;921;708;7699;5740
10.01.2022 21:00 - 10.01.2022 22:00;927;713;7883;5589
10.01.2022 22:00 - 10.01.2022 23:00;735;715;7676;5291
10.01.2022 23:00 - 11.01.2022 00:00;655;693;7279;5006
11.01.2022 00:00 - 11.01.2022 01:00;518;704;6823;4790
11.01.2022 01:00 - 11.01.2022 02:00;445;715;6437;4636
11.01.2022 02:00 - 11.01.2022 03:00;259;724;6090;4561
11.01.2022 03:00 - 11.01.2022 04:00;220;721;6032;4515
11.01.2022 04:00 - 11.01.2022 05:00;376;719;6206;4541
11.01.2022 05:00 - 11.01.2022 06:00;935;714;6791;4675
11.01.2022 06:00 - 11.01.2022 07:00;1529;739;7375;5142
11.01.2022 07:00 - 11.01.2022 08:00;1390;753;7649;5675
11.01.2022 08:00 - 11.01.2022 09:00;1377;748;7721;5873
11.01.2022 09:00 - 11.01.2022 10:00;1391;751;7801;5835
11.01.2022 10:00 - 11.01.2022 11:00;1207;750;7860;5789
11.01.2022 11:00 - 11.01.2022 12:00;997;753;7802;5646
11.01.2022 12:00 - 11.01.2022 13:00;1087;751;7668;5654
11.01.2022 13:00 - 11.01.2022 14:00;1446;757;7771;5649
11.01.2022 14:00 - 11.01.2022 15:00;1508;764;7736;5636
11.01.2022 15:00 - 11.01.2022 16:00;1343;769;7779;5649
11.01.2022 16:00 - 11.01.2022 17:00;1294;767;7983;5832
11.01.2022 17:00 - 11.01.2022 18:00;1158;771;8138;5780
11.01.2022 18:00 - 11.01.2022 19:00;1029;774;8065;5647
11.01.2022 19:00 - 11.01.2022 20:00;941;771;7929;5470
11.01.2022 20:00 - 11.01.2022 21:00;533;779;7815;5408
11.01.2022 21:00 - 11.01.2022 22:00;182;784;7698;5282
11.01.2022 22:00 - 11.01.2022 23:00;84;788;7429;5058
11.01.2022 23:00 - 12.01.2022 00:00;-145;761;6709;4832
12.01.2022 00:00 - 12.01.2022 01:00;-196;754;6601;4655
12.01.2022 01:00 - 12.01.2022 02:00;-339;749;6423;4551
12.01.2022 02:00 - 12.01.2022 03:00;-280;745;6228;4505
12.01.2022 03:00 - 12.01.2022 04:00;-242;747;6231;4444
12.01.2022 04:00 - 12.01.2022 05:00;-289;746;6136;4484
12.01.2022 05:00 - 12.01.2022 06:00;42;749;6618;4647
12.01.2022 06:00 - 12.01.2022 07:00;453;769;7229;5149
12.01.2022 07:00 - 12.01.2022 08:00;982;791;7831;5694
12.01.2022 08:00 - 12.01.2022 09:00;1015;777;7777;5901
12.01.2022 09:00 - 12.01.2022 10:00;1080;788;7487;5862
12.01.2022 10:00 - 12.01.2022 11:00;1082;787;7349;5761
12.01.2022 11:00 - 12.01.2022 12:00;1216;801;7250;5702
12.01.2022 12:00 - 12.01.2022 13:00;1328;813;7150;5626
12.01.2022 13:00 - 12.01.2022 14:00;1368;822;6838;5501
12.01.2022 14:00 - 12.01.2022 15:00;1202;833;6471;5479
12.01.2022 15:00 - 12.01.2022 16:00;1095;842;5912;5539
12.01.2022 16:00 - 12.01.2022 17:00;1139;839;5995;5709
